pmid	food-id	disease-id	association
11496637	Plant ID:4097	MESH:D001991	Negative
11496637	Plant ID:4097	MESH:D004646	Negative
10575435	Plant ID:4097	MESH:D007822	Negative
10575669	Plant ID:3983	MESH:D007037	Negative
10577492	Plant ID:4097	MESH:D006331	Negative
10577492	Plant ID:4097	MESH:D016491	Negative
10577492	Plant ID:4097	MESH:D007822	Negative
10577492	Plant ID:4097	MESH:D009062	Negative
10577492	Plant ID:4097	MESH:D004938	Negative
10577492	Plant ID:4097	MESH:D029424	Negative
10577492	Plant ID:4097	MESH:D005317	Negative
10592142	Plant ID:4097	MESH:D003643	Negative
10592142	Plant ID:4097	MESH:D003327	Negative
10593424	Plant ID:4097	MESH:D006331	Negative
10593424	Plant ID:4097	MESH:D009369	Negative
10676732	Plant ID:43522	MESH:D051436	Negative
21658327	Plant ID:4182	MESH:D004342	Negative
23156120	Plant ID:4565	MESH:D001796	Negative
27104037	Plant ID:285590	MESH:D003920	Positive
27122070	Plant ID:13443	MESH:D011843	Negative
27122498	Plant ID:4577	MESH:D011843	Positive
27123419	Plant ID:140311	MESH:D007247	Positive
27127740	Plant ID:40922	MESH:D056486	Positive
27131100	Plant ID:3750	MESH:D005759	Positive
27131100	Plant ID:3750	MESH:D003681	Positive
